speciesID lakeID variable value scenario
14176 1 -0.5 22.9405816132894 S0_m1
14179 1 -0.5 29.8653046462102 S0_m1
14181 1 -0.5 0 S0_m1
14186 1 -0.5 0 S0_m1
14187 1 -0.5 559.699938351032 S0_m1
14188 1 -0.5 180.508971981918 S0_m1
14191 1 -0.5 179.034522027981 S0_m1
14192 1 -0.5 477.698647552416 S0_m1
14193 1 -0.5 0 S0_m1
14194 1 -0.5 0 S0_m1
14197 1 -0.5 336.809905390225 S0_m1
14198 1 -0.5 211.694571854219 S0_m1
14199 1 -0.5 112.01489838043 S0_m1
14202 1 -0.5 0 S0_m1
14203 1 -0.5 0 S0_m1
14207 1 -0.5 47.9079891498718 S0_m1
14209 1 -0.5 0 S0_m1
14211 1 -0.5 194.399823034321 S0_m1
14212 1 -0.5 478.400751852242 S0_m1
14213 1 -0.5 75.6235899450665 S0_m1
14214 1 -0.5 0 S0_m1
14215 1 -0.5 0 S0_m1
14218 1 -0.5 0 S0_m1
14219 1 -0.5 9.27145535676667 S0_m1
14222 1 -0.5 0 S0_m1
14224 1 -0.5 120.517296884713 S0_m1
14228 1 -0.5 203.699967634659 S0_m1
14230 1 -0.5 0 S0_m1
14232 1 -0.5 0 S0_m1
14235 1 -0.5 245.316111952706 S0_m1
14238 1 -0.5 105.286400226709 S0_m1
14239 1 -0.5 0 S0_m1
14240 1 -0.5 22.9407765927322 S0_m1
14241 1 -0.5 0 S0_m1
14243 1 -0.5 102.905770785724 S0_m1
14245 1 -0.5 0 S0_m1
14246 1 -0.5 0 S0_m1
14247 1 -0.5 94.8682407198708 S0_m1
14248 1 -0.5 0 S0_m1
14176 2 -0.5 0 S0_m1
14179 2 -0.5 0 S0_m1
14181 2 -0.5 0 S0_m1
14186 2 -0.5 0 S0_m1
14187 2 -0.5 0 S0_m1
14188 2 -0.5 0 S0_m1
14191 2 -0.5 0 S0_m1
14192 2 -0.5 0 S0_m1
14193 2 -0.5 0 S0_m1
14194 2 -0.5 0 S0_m1
14197 2 -0.5 0 S0_m1
14198 2 -0.5 0 S0_m1
14199 2 -0.5 0 S0_m1
14202 2 -0.5 0 S0_m1
14203 2 -0.5 0 S0_m1
