"""AreaGroup"",""Min_Value"""
"""F_maxZ_mean"",0.51"
"""F_zepi_b_mean"",0.47"
"""F_zepi_p_mean"",0.66"
"""F_maxZ_very.small"",0.48"
"""F_maxZ_small"",0.4"
"""F_maxZ_medium"",0.58"
"""F_maxZ_large"",0.3"
"""F_maxZ_very.large"",0.35"
