speciesID lakeID variable value scenario
16002 1 -0.5 573.720410775507 base
16002 11 -0.5 471.574221724446 base
16002 18 -0.5 508.947840883007 base
16002 22 -0.5 526.187726660657 base
16002 28 -0.5 527.391549451682 base
16002 1 -1.5 355.707115995468 base
16002 11 -1.5 103.971233691664 base
16002 18 -1.5 272.65831211088 base
16002 22 -1.5 359.91295038003 base
16002 28 -1.5 392.965373226209 base
16002 1 -3 17.5084914567454 base
16002 11 -3 0 base
16002 18 -3 1.38808791615876 base
16002 22 -3 78.1954532314771 base
16002 28 -3 155.367605536064 base
16002 1 -5 0 base
16002 11 -5 0 base
16002 18 -5 0 base
16002 22 -5 0 base
16002 28 -5 3.83799849403771 base
